Time (NPT),Temperature (Celsius),Relative Humidity,col3,col4,col5,Missing
2025-10-24 02:00:00,-13.06,10.49,22.74,8.38,462.1,False
2025-10-24 03:00:00,-10.94,9.29,523.3,4.457,462.4,False
2025-10-24 04:00:00,-9.84,10.52,720.6,6.958,463,False
2025-10-24 05:00:00,-9.46,8.51,864.0,3.474,462.7,False
2025-10-24 06:00:00,-9.61,12.42,914.0,9.05,462.4,False
2025-10-24 07:00:00,-8.63,14.45,897.0,6.25,NAN,False
2025-10-24 08:00:00,-9.82,12.83,802.0,6.486,461.7,False
2025-10-24 09:00:00,-8.78,9.43,649.3,7.847,461.5,False
2025-10-24 10:00:00,-10.9,12.64,45.72,6.048,461.3,False
2025-10-24 11:00:00,-10.27,13.28,21.94,5.217,460.9,False
2025-10-24 12:00:00,-12.95,22.91,-5.06,7.069,461.4,False
2025-10-24 13:00:00,-13.38,23.93,-4.88,3.801,461.5,False
2025-10-24 14:00:00,-12.67,20.08,-4.18,6.614,461.8,False
2025-10-24 15:00:00,-13.1,20.14,-4.23,8.09,462.1,False
2025-10-24 16:00:00,-13.11,19.32,-4.46,7.389,462.3,False
2025-10-24 17:00:00,-14.14,17.36,-5.34,5.864,462.3,False
2025-10-24 18:00:00,-12.54,11.54,-4.52,8.78,462.2,False
2025-10-24 19:00:00,-12.15,8.48,-4.64,8.95,461.8,False
2025-10-24 20:00:00,-12.97,10.46,-4.2,7.097,461.9,False
2025-10-24 21:00:00,-12.99,10.25,-4.2,6.481,NAN,False
2025-10-24 22:00:00,-12.58,9.89,-4.26,7.394,460.9,False
2025-10-24 23:00:00,-13.07,12.21,-4.78,7.636,460.8,False
2025-10-25 00:00:00,-13.42,11.6,-4.55,9.0,NAN,False
2025-10-25 01:00:00,-13.16,11.41,5.9,10.11,461.3,False
2025-10-25 02:00:00,-13.8,14.91,22.88,9.6,461.7,False
2025-10-25 03:00:00,-12.88,13.21,523.1,8.32,NAN,False
2025-10-25 04:00:00,-12.5,17.49,714.6,10.52,462.3,False
2025-10-25 05:00:00,-12.19,18.68,846.0,7.711,462.3,False
2025-10-25 06:00:00,-12.13,17.53,905.0,10.66,461.9,False
2025-10-25 07:00:00,-11.28,19.28,882.0,9.66,461.8,False
2025-10-25 08:00:00,-10.67,19.82,793.1,9.11,461.2,False
2025-10-25 09:00:00,-10.68,18.21,628.3,11.11,461.1,False
2025-10-25 10:00:00,-11.26,14.28,44.65,10.59,461.1,False
2025-10-25 11:00:00,-11.96,14.23,22.55,11.34,460.8,False
2025-10-25 12:00:00,-11.87,13.55,-3.15,12.73,461.4,False
2025-10-25 13:00:00,-12.18,11.85,-3.27,11.83,461.6,False
2025-10-25 14:00:00,-12.25,12.2,-4.88,10.07,462.2,False
2025-10-25 15:00:00,-12.04,11.19,-5.49,9.85,462.2,False
2025-10-25 16:00:00,-11.87,9.59,-2.98,11.79,462.4,False
2025-10-25 17:00:00,-12.06,11.01,-3.85,12.17,462.2,False
2025-10-25 18:00:00,-12.1,9.66,-4.45,13.48,461.1,False
2025-10-25 19:00:00,-12.08,8.31,-3.9,13.79,461.8,False
2025-10-25 20:00:00,-12.34,6.572,-4.84,15.31,NAN,False
2025-10-25 21:00:00,-13.48,9.26,-3.06,13.75,461.4,False
2025-10-25 22:00:00,-13.55,7.399,-4.16,8.5,461.2,False
2025-10-25 23:00:00,-13.53,6.682,-3.87,9.29,461.5,False
2025-10-26 00:00:00,-13.52,7.803,-4.62,11.2,461.3,False
2025-10-26 01:00:00,-13.51,8.01,5.18,10.07,461.7,False
2025-10-26 02:00:00,-14.83,12.63,21.27,8.77,462.2,False
2025-10-26 03:00:00,-12.91,9.45,518.5,5.873,462.5,False
2025-10-26 04:00:00,-11.66,11.53,715.2,7.644,462.7,False
2025-10-26 05:00:00,-10.52,8.29,850.0,8.29,462.4,False
2025-10-26 06:00:00,-10.35,7.075,912.0,8.19,462.4,False
2025-10-26 07:00:00,-9.76,14.24,888.0,7.267,462.2,False
2025-10-26 08:00:00,-9.17,10.85,794.9,5.778,462,False
2025-10-26 09:00:00,-9.09,10.6,635.9,8.38,462.1,False
2025-10-26 10:00:00,-9.72,8.74,43.42,10.61,462.2,False
2025-10-26 11:00:00,-9.51,7.762,20.64,8.16,462.3,False
2025-10-26 12:00:00,-9.63,6.968,-4.75,10.0,462.9,False
2025-10-26 13:00:00,-9.24,12.53,-4.13,10.45,463.2,False
2025-10-26 14:00:00,-9.28,19.44,-3.99,10.81,463.6,False
2025-10-26 15:00:00,-9.74,20.87,-4.05,11.82,463.8,False
2025-10-26 16:00:00,-9.42,31.02,-3.06,11.55,463.5,False
2025-10-26 17:00:00,-9.35,37.3,-3.76,12.94,463.3,False
2025-10-26 18:00:00,-9.7,39.26,-3.4,12.95,463,False
2025-10-26 19:00:00,-9.63,13.44,-3.2,12.15,462.9,False
2025-10-26 20:00:00,-10.04,14.87,-4.84,8.95,462.9,False
2025-10-26 21:00:00,-9.86,13.79,-2.14,8.74,462.7,False
2025-10-26 22:00:00,-9.82,11.63,-2.29,9.54,462.5,False
2025-10-26 23:00:00,-8.9,8.09,-1.97,9.22,462.4,False
2025-10-27 00:00:00,-8.65,9.0,-1.78,11.14,462.9,False
2025-10-27 01:00:00,-8.88,6.321,29.91,9.4,463.5,False
2025-10-27 02:00:00,-9.32,6.664,82.0,7.633,463.7,False
2025-10-27 03:00:00,-8.79,12.24,116.7,9.92,464.3,False
2025-10-27 04:00:00,-8.71,9.91,172.4,9.59,464.5,False
2025-10-27 05:00:00,-9.24,21.12,265.0,9.34,464.2,False
2025-10-27 06:00:00,-9.05,26.91,282.3,10.02,463.9,False
2025-10-27 07:00:00,-9.29,31.19,275.9,8.99,463.4,False
2025-10-27 08:00:00,-10.02,46.06,276.4,9.59,463.3,False
2025-10-27 09:00:00,-10.77,60.17,225.5,4.923,463.2,False
2025-10-27 10:00:00,-11.17,64.85,147.8,7.675,462.9,False
2025-10-27 11:00:00,-11.03,45.87,72.91,4.998,462.8,False
2025-10-27 12:00:00,-7.272,57.4,-0.46,10.23,462.7,False
2025-10-27 13:00:00,-7.259,55.47,-1.12,9.51,463.3,False
2025-10-27 14:00:00,-7.945,65.37,-0.39,12.39,463.4,False
2025-10-27 15:00:00,-7.763,68.24,-0.36,14.69,463.9,False
2025-10-27 16:00:00,-7.364,63.48,-0.32,11.27,463.8,False
2025-10-27 17:00:00,-7.828,72.83,-0.53,10.69,463.7,False
2025-10-27 18:00:00,-7.498,64.26,0.17,11.67,463.2,False
2025-10-27 19:00:00,-7.635,68.12,-0.18,9.23,463.1,False
2025-10-27 20:00:00,-7.887,68.98,-0.55,11.98,462.7,False
2025-10-27 21:00:00,-8.22,71.69,-0.14,8.63,462.4,False
2025-10-27 22:00:00,-8.97,79.72,0.11,14.95,461.9,False
2025-10-27 23:00:00,-9.05,78.21,-0.14,12.92,462.4,False
2025-10-28 00:00:00,-8.69,75.64,0.1,10.12,462.2,False
2025-10-28 01:00:00,-9.1,83.0,9.85,9.12,462.7,False
2025-10-28 02:00:00,-9.29,90.1,38.03,5.412,NAN,False
